"","Fecha","Nivel06 (m)","Nivel10 (m)","Nivel14 (m)","Nivel18 (m)","Caudal (m^3/s)"
"263",1951-09-20,NA,NA,NA,NA,23.8
"264",1951-09-21,NA,NA,NA,NA,19.4
"265",1951-09-22,NA,NA,NA,NA,19.5
"266",1951-09-23,NA,NA,NA,NA,19.4
"267",1951-09-24,NA,NA,NA,NA,19.2
"268",1951-09-25,NA,NA,NA,NA,14.15
"269",1951-09-26,NA,NA,NA,NA,20
"270",1951-09-27,NA,NA,NA,NA,20
"271",1951-09-28,NA,NA,NA,NA,19.2
"272",1951-09-29,NA,NA,NA,NA,19.2
"273",1951-09-30,NA,NA,NA,NA,19.5
"274",1951-10-01,NA,NA,NA,NA,21.5
"275",1951-10-02,NA,NA,NA,NA,21.2
"276",1951-10-03,NA,NA,NA,NA,20.97
"277",1951-10-04,NA,NA,NA,NA,21.2
"278",1951-10-05,NA,NA,NA,NA,20.9
"279",1951-10-06,NA,NA,NA,NA,18.1
"280",1951-10-07,NA,NA,NA,NA,18.4
"281",1951-10-08,NA,NA,NA,NA,18.15
"282",1951-10-09,NA,NA,NA,NA,17.8
"283",1951-10-10,NA,NA,NA,NA,17.76
"284",1951-10-11,NA,NA,NA,NA,17.6
"285",1951-10-12,NA,NA,NA,NA,17.47
"286",1951-10-13,NA,NA,NA,NA,17.3
"287",1951-10-14,NA,NA,NA,NA,17.18
"288",1951-10-15,NA,NA,NA,NA,17.05
"289",1951-10-16,NA,NA,NA,NA,17
"290",1951-10-17,NA,NA,NA,NA,17.3
"291",1951-10-18,NA,NA,NA,NA,17.04
"292",1951-10-19,NA,NA,NA,NA,16.9
"293",1951-10-20,NA,NA,NA,NA,16.75
"294",1951-10-21,NA,NA,NA,NA,16.61
"295",1951-10-22,NA,NA,NA,NA,16.61
"296",1951-10-23,NA,NA,NA,NA,16.75
"297",1951-10-24,NA,NA,NA,NA,16.5
"298",1951-10-25,NA,NA,NA,NA,16.35
"299",1951-10-26,NA,NA,NA,NA,16.18
"300",1951-10-27,NA,NA,NA,NA,16.6
"301",1951-10-28,NA,NA,NA,NA,16.45
"302",1951-10-29,NA,NA,NA,NA,16.3
"303",1951-10-30,NA,NA,NA,NA,17.13
"304",1951-10-31,NA,NA,NA,NA,17.56
"305",1951-11-01,NA,NA,NA,NA,17.85
"306",1951-11-02,NA,NA,NA,NA,17.99
"307",1951-11-03,NA,NA,NA,NA,22.07
"308",1951-11-04,NA,NA,NA,NA,19.19
"309",1951-11-05,NA,NA,NA,NA,17.57
"310",1951-11-06,NA,NA,NA,NA,17.27
"311",1951-11-07,NA,NA,NA,NA,17.14
"312",1951-11-08,NA,NA,NA,NA,17.06
"313",1951-11-09,NA,NA,NA,NA,16.99
"314",1951-11-10,NA,NA,NA,NA,16.42
"315",1951-11-11,NA,NA,NA,NA,17.14
"316",1951-11-12,NA,NA,NA,NA,17.5
"317",1951-11-13,NA,NA,NA,NA,17.7
"318",1951-11-14,NA,NA,NA,NA,17.9
"319",1951-11-15,NA,NA,NA,NA,17.4
"320",1951-11-16,NA,NA,NA,NA,17.1
"321",1951-11-17,NA,NA,NA,NA,16.96
"322",1951-11-18,NA,NA,NA,NA,16.66
"323",1951-11-19,NA,NA,NA,NA,27.53
"324",1951-11-20,NA,NA,NA,NA,29.3
"325",1951-11-21,NA,NA,NA,NA,33.03
"326",1951-11-22,NA,NA,NA,NA,28.66
"327",1951-11-23,NA,NA,NA,NA,26.8
"328",1951-11-24,NA,NA,NA,NA,22.07
"329",1951-11-25,NA,NA,NA,NA,19.61
"330",1951-11-26,NA,NA,NA,NA,19
"331",1951-11-27,NA,NA,NA,NA,18.8
"332",1951-11-28,NA,NA,NA,NA,20.8
"333",1951-11-29,NA,NA,NA,NA,19.9
"334",1951-11-30,NA,NA,NA,NA,19.34
"335",1951-12-01,NA,NA,NA,NA,22.07
"336",1951-12-02,NA,NA,NA,NA,20.24
"337",1951-12-03,NA,NA,NA,NA,19.34
"338",1951-12-04,NA,NA,NA,NA,19.03
"339",1951-12-05,NA,NA,NA,NA,18.8
"340",1951-12-06,NA,NA,NA,NA,18.7
"341",1951-12-07,NA,NA,NA,NA,19.3
"342",1951-12-08,NA,NA,NA,NA,20.2
"343",1951-12-09,NA,NA,NA,NA,29.3
"344",1951-12-10,NA,NA,NA,NA,50.07
"345",1951-12-11,NA,NA,NA,NA,46.4
"346",1951-12-12,NA,NA,NA,NA,33.76
"347",1951-12-13,NA,NA,NA,NA,33.03
"348",1951-12-14,NA,NA,NA,NA,31.2
"349",1951-12-15,NA,NA,NA,NA,49.3
"350",1951-12-16,NA,NA,NA,NA,58.2
"351",1951-12-17,NA,NA,NA,NA,50.2
"352",1951-12-18,NA,NA,NA,NA,46.6
"353",1951-12-19,NA,NA,NA,NA,45.04
"354",1951-12-20,NA,NA,NA,NA,43.44
"355",1951-12-21,NA,NA,NA,NA,40.24
"356",1951-12-22,NA,NA,NA,NA,38.46
"357",1951-12-23,NA,NA,NA,NA,42.6
"358",1951-12-24,NA,NA,NA,NA,49.9
"359",1951-12-25,NA,NA,NA,NA,46.15
"360",1951-12-26,NA,NA,NA,NA,47.75
"361",1951-12-27,NA,NA,NA,NA,48.55
"362",1951-12-28,NA,NA,NA,NA,60.08
"363",1951-12-29,NA,NA,NA,NA,91.02
"364",1951-12-30,NA,NA,NA,NA,88.2
"365",1951-12-31,NA,NA,NA,NA,85.8
"366",1952-01-01,NA,NA,NA,NA,72.17
"367",1952-01-02,NA,NA,NA,NA,69
"368",1952-01-03,NA,NA,NA,NA,73.34
"369",1952-01-04,NA,NA,NA,NA,90.6
"370",1952-01-05,NA,NA,NA,NA,149.55
"371",1952-01-06,NA,NA,NA,NA,278.88
"372",1952-01-07,NA,NA,NA,NA,192.7
"373",1952-01-08,NA,NA,NA,NA,149
"374",1952-01-09,NA,NA,NA,NA,130
"375",1952-01-10,NA,NA,NA,NA,119.25
"376",1952-01-11,NA,NA,NA,NA,103.3
"377",1952-01-12,NA,NA,NA,NA,99.92
"378",1952-01-13,NA,NA,NA,NA,97.69
"379",1952-01-14,NA,NA,NA,NA,100.17
"380",1952-01-15,NA,NA,NA,NA,101.4
"381",1952-01-16,NA,NA,NA,NA,98.3
"382",1952-01-17,NA,NA,NA,NA,97.07
"383",1952-01-18,NA,NA,NA,NA,94.6
"384",1952-01-19,NA,NA,NA,NA,91.2
"385",1952-01-20,NA,NA,NA,NA,89.8
"386",1952-01-21,NA,NA,NA,NA,96.82
"387",1952-01-22,NA,NA,NA,NA,95.2
"388",1952-01-23,NA,NA,NA,NA,94.6
"389",1952-01-24,NA,NA,NA,NA,97.4
"390",1952-01-25,NA,NA,NA,NA,98.7
"391",1952-01-26,NA,NA,NA,NA,169.7
"392",1952-01-27,NA,NA,NA,NA,237.6
"393",1952-01-28,NA,NA,NA,NA,215.5
"394",1952-01-29,NA,NA,NA,NA,216.5
"395",1952-01-30,NA,NA,NA,NA,260.8
"396",1952-01-31,NA,NA,NA,NA,250.15
"397",1952-02-01,NA,NA,NA,NA,336.15
"398",1952-02-02,NA,NA,NA,NA,260
"399",1952-02-03,NA,NA,NA,NA,220
"400",1952-02-04,NA,NA,NA,NA,210.6
"401",1952-02-05,NA,NA,NA,NA,215.52
"402",1952-02-06,NA,NA,NA,NA,208
"403",1952-02-07,NA,NA,NA,NA,202.86
"404",1952-02-08,NA,NA,NA,NA,192.7
"405",1952-02-09,NA,NA,NA,NA,167.29
"406",1952-02-10,NA,NA,NA,NA,183
"407",1952-02-11,NA,NA,NA,NA,189.12
"408",1952-02-12,NA,NA,NA,NA,194.37
"409",1952-02-13,NA,NA,NA,NA,167.76
"410",1952-02-14,NA,NA,NA,NA,160.6
"411",1952-02-15,NA,NA,NA,NA,143.5
"412",1952-02-16,NA,NA,NA,NA,140.5
"413",1952-02-17,NA,NA,NA,NA,131.4
"414",1952-02-18,NA,NA,NA,NA,128.4
"415",1952-02-19,NA,NA,NA,NA,125.14
"416",1952-02-20,NA,NA,NA,NA,123.8
"417",1952-02-21,NA,NA,NA,NA,136.58
"418",1952-02-22,NA,NA,NA,NA,131.2
"419",1952-02-23,NA,NA,NA,NA,121.1
"420",1952-02-24,NA,NA,NA,NA,119.74
"421",1952-02-25,NA,NA,NA,NA,115.66
"422",1952-02-26,NA,NA,NA,NA,117.06
"423",1952-02-27,NA,NA,NA,NA,120.42
"424",1952-02-28,NA,NA,NA,NA,146.5
"425",1952-02-29,NA,NA,NA,NA,160.6
"426",1952-03-01,NA,NA,NA,NA,194.27
"427",1952-03-02,NA,NA,NA,NA,250.9
"428",1952-03-03,NA,NA,NA,NA,291
"429",1952-03-04,NA,NA,NA,NA,390
"430",1952-03-05,NA,NA,NA,NA,322.5
"431",1952-03-06,NA,NA,NA,NA,269.8
"432",1952-03-07,NA,NA,NA,NA,220.23
"433",1952-03-08,NA,NA,NA,NA,206.99
"434",1952-03-09,NA,NA,NA,NA,179.6
"435",1952-03-10,NA,NA,NA,NA,166.35
"436",1952-03-11,NA,NA,NA,NA,152.43
"437",1952-03-12,NA,NA,NA,NA,145.95
"438",1952-03-13,NA,NA,NA,NA,143.05
"439",1952-03-14,NA,NA,NA,NA,137.46
"440",1952-03-15,NA,NA,NA,NA,133.25
"441",1952-03-16,NA,NA,NA,NA,131.41
"442",1952-03-17,NA,NA,NA,NA,131.41
"443",1952-03-18,NA,NA,NA,NA,166.35
"444",1952-03-19,NA,NA,NA,NA,151.7
"445",1952-03-20,NA,NA,NA,NA,146.67
"446",1952-03-21,NA,NA,NA,NA,136.01
"447",1952-03-22,NA,NA,NA,NA,130.7
"448",1952-03-23,NA,NA,NA,NA,127.9
"449",1952-03-24,NA,NA,NA,NA,121.12
"450",1952-03-25,NA,NA,NA,NA,117.7
"451",1952-03-26,NA,NA,NA,NA,122.52
"452",1952-03-27,NA,NA,NA,NA,150.19
"453",1952-03-28,NA,NA,NA,NA,203.44
"454",1952-03-29,NA,NA,NA,NA,138.38
"455",1952-03-30,NA,NA,NA,NA,169.7
"456",1952-03-31,NA,NA,NA,NA,141.95
"457",1952-04-01,NA,NA,NA,NA,131.67
"458",1952-04-02,NA,NA,NA,NA,132.37
"459",1952-04-03,NA,NA,NA,NA,250.97
"460",1952-04-04,NA,NA,NA,NA,143.53
"461",1952-04-05,NA,NA,NA,NA,142.83
"462",1952-04-06,NA,NA,NA,NA,132.37
"463",1952-04-07,NA,NA,NA,NA,124.48
"464",1952-04-08,NA,NA,NA,NA,130.7
"465",1952-04-09,NA,NA,NA,NA,123.03
"466",1952-04-10,NA,NA,NA,NA,128.29
"467",1952-04-11,NA,NA,NA,NA,305
"468",1952-04-12,NA,NA,NA,NA,216.1
"469",1952-04-13,NA,NA,NA,NA,192.7
"470",1952-04-14,NA,NA,NA,NA,177.11
"471",1952-04-15,NA,NA,NA,NA,300
"472",1952-04-16,NA,NA,NA,NA,198.81
"473",1952-04-17,NA,NA,NA,NA,167.29
"474",1952-04-18,NA,NA,NA,NA,152.55
"475",1952-04-19,NA,NA,NA,NA,154.58
"476",1952-04-20,NA,NA,NA,NA,148.11
"477",1952-04-21,NA,NA,NA,NA,152.55
"478",1952-04-22,NA,NA,NA,NA,355
"479",1952-04-23,NA,NA,NA,NA,189.12
"480",1952-04-24,NA,NA,NA,NA,167.29
"481",1952-04-25,NA,NA,NA,NA,150.95
"482",1952-04-26,NA,NA,NA,NA,148.77
"483",1952-04-27,NA,NA,NA,NA,168.94
"484",1952-04-28,NA,NA,NA,NA,150.95
"485",1952-04-29,NA,NA,NA,NA,141.86
"486",1952-04-30,NA,NA,NA,NA,133.72
"487",1952-05-01,NA,NA,NA,NA,130.32
"488",1952-05-02,NA,NA,NA,NA,125.82
"489",1952-05-03,NA,NA,NA,NA,123.12
"490",1952-05-04,NA,NA,NA,NA,121.09
"491",1952-05-05,NA,NA,NA,NA,119.74
"492",1952-05-06,NA,NA,NA,NA,117
"493",1952-05-07,NA,NA,NA,NA,116.32
"494",1952-05-08,NA,NA,NA,NA,114.31
"495",1952-05-09,NA,NA,NA,NA,109.78
"496",1952-05-10,NA,NA,NA,NA,103.27
"497",1952-05-11,NA,NA,NA,NA,100.01
"498",1952-05-12,NA,NA,NA,NA,102.6
"499",1952-05-13,NA,NA,NA,NA,108.3
"500",1952-05-14,NA,NA,NA,NA,112.64
"501",1952-05-15,NA,NA,NA,NA,109.78
"502",1952-05-16,NA,NA,NA,NA,110.45
"503",1952-05-17,NA,NA,NA,NA,110.11
"504",1952-05-18,NA,NA,NA,NA,100.01
"505",1952-05-19,NA,NA,NA,NA,98.84
"506",1952-05-20,NA,NA,NA,NA,99.46
"507",1952-05-21,NA,NA,NA,NA,97.75
"508",1952-05-22,NA,NA,NA,NA,97.25
"509",1952-05-23,NA,NA,NA,NA,97.15
"510",1952-05-24,NA,NA,NA,NA,96.55
"511",1952-05-25,NA,NA,NA,NA,94.62
"512",1952-05-26,NA,NA,NA,NA,93.4
"513",1952-05-27,NA,NA,NA,NA,90.6
"514",1952-05-28,NA,NA,NA,NA,96.86
"515",1952-05-29,NA,NA,NA,NA,94.02
"516",1952-05-30,NA,NA,NA,NA,92.18
"517",1952-05-31,NA,NA,NA,NA,90
"518",1952-06-01,NA,NA,NA,NA,88.2
"519",1952-06-02,NA,NA,NA,NA,85.8
"520",1952-06-03,NA,NA,NA,NA,84.4
"521",1952-06-04,NA,NA,NA,NA,84.4
"522",1952-06-05,NA,NA,NA,NA,85.2
"523",1952-06-06,NA,NA,NA,NA,83.8
"524",1952-06-07,NA,NA,NA,NA,82.2
"525",1952-06-08,NA,NA,NA,NA,82.2
"526",1952-06-09,NA,NA,NA,NA,82.3
"527",1952-06-10,NA,NA,NA,NA,88.8
"528",1952-06-11,NA,NA,NA,NA,88.5
"529",1952-06-12,NA,NA,NA,NA,87
"530",1952-06-13,NA,NA,NA,NA,81.2
"531",1952-06-14,NA,NA,NA,NA,80.9
"532",1952-06-15,NA,NA,NA,NA,78.8
"533",1952-06-16,NA,NA,NA,NA,76.04
"534",1952-06-17,NA,NA,NA,NA,72.77
"535",1952-06-18,NA,NA,NA,NA,72.2
"536",1952-06-19,NA,NA,NA,NA,71.92
"537",1952-06-20,NA,NA,NA,NA,71.06
"538",1952-06-21,NA,NA,NA,NA,67
"539",1952-06-22,NA,NA,NA,NA,66.01
"540",1952-06-23,NA,NA,NA,NA,66.01
"541",1952-06-24,NA,NA,NA,NA,65.2
"542",1952-06-25,NA,NA,NA,NA,65.47
"543",1952-06-26,NA,NA,NA,NA,64
"544",1952-06-27,NA,NA,NA,NA,62.03
"545",1952-06-28,NA,NA,NA,NA,61.53
