"","Fecha","Nivel06 (m)","Nivel10 (m)","Nivel14 (m)","Nivel18 (m)","Caudal (m^3/s)"
"1",1951-01-01,NA,NA,NA,NA,NA
"2",1951-01-02,NA,NA,NA,NA,NA
"3",1951-01-03,NA,NA,NA,NA,NA
"4",1951-01-04,NA,NA,NA,NA,NA
"5",1951-01-05,NA,NA,NA,NA,NA
"6",1951-01-06,NA,NA,NA,NA,NA
"7",1951-01-07,NA,NA,NA,NA,NA
"8",1951-01-08,NA,NA,NA,NA,NA
"9",1951-01-09,NA,NA,NA,NA,NA
"10",1951-01-10,NA,NA,NA,NA,NA
"11",1951-01-11,NA,NA,NA,NA,NA
"12",1951-01-12,NA,NA,NA,NA,NA
"13",1951-01-13,NA,NA,NA,NA,NA
"14",1951-01-14,NA,NA,NA,NA,NA
"15",1951-01-15,NA,NA,NA,NA,NA
"16",1951-01-16,NA,NA,NA,NA,NA
"17",1951-01-17,NA,NA,NA,NA,NA
"18",1951-01-18,NA,NA,NA,NA,NA
"19",1951-01-19,NA,NA,NA,NA,NA
"20",1951-01-20,NA,NA,NA,NA,NA
"21",1951-01-21,NA,NA,NA,NA,NA
"22",1951-01-22,NA,NA,NA,NA,NA
"23",1951-01-23,NA,NA,NA,NA,NA
"24",1951-01-24,NA,NA,NA,NA,NA
"25",1951-01-25,NA,NA,NA,NA,NA
"26",1951-01-26,NA,NA,NA,NA,NA
"27",1951-01-27,NA,NA,NA,NA,NA
"28",1951-01-28,NA,NA,NA,NA,NA
"29",1951-01-29,NA,NA,NA,NA,NA
"30",1951-01-30,NA,NA,NA,NA,NA
"31",1951-01-31,NA,NA,NA,NA,NA
"32",1951-02-01,NA,NA,NA,NA,NA
"33",1951-02-02,NA,NA,NA,NA,NA
"34",1951-02-03,NA,NA,NA,NA,NA
"35",1951-02-04,NA,NA,NA,NA,NA
"36",1951-02-05,NA,NA,NA,NA,NA
"37",1951-02-06,NA,NA,NA,NA,NA
"38",1951-02-07,NA,NA,NA,NA,NA
"39",1951-02-08,NA,NA,NA,NA,NA
"40",1951-02-09,NA,NA,NA,NA,NA
"41",1951-02-10,NA,NA,NA,NA,NA
"42",1951-02-11,NA,NA,NA,NA,NA
"43",1951-02-12,NA,NA,NA,NA,NA
"44",1951-02-13,NA,NA,NA,NA,NA
"45",1951-02-14,NA,NA,NA,NA,NA
"46",1951-02-15,NA,NA,NA,NA,NA
"47",1951-02-16,NA,NA,NA,NA,NA
"48",1951-02-17,NA,NA,NA,NA,NA
"49",1951-02-18,NA,NA,NA,NA,NA
"50",1951-02-19,NA,NA,NA,NA,NA
"51",1951-02-20,NA,NA,NA,NA,NA
"52",1951-02-21,NA,NA,NA,NA,NA
"53",1951-02-22,NA,NA,NA,NA,NA
"54",1951-02-23,NA,NA,NA,NA,NA
"55",1951-02-24,NA,NA,NA,NA,NA
"56",1951-02-25,NA,NA,NA,NA,NA
"57",1951-02-26,NA,NA,NA,NA,NA
"58",1951-02-27,NA,NA,NA,NA,NA
"59",1951-02-28,NA,NA,NA,NA,NA
"60",1951-03-01,NA,NA,NA,NA,NA
"61",1951-03-02,NA,NA,NA,NA,NA
"62",1951-03-03,NA,NA,NA,NA,NA
"63",1951-03-04,NA,NA,NA,NA,NA
"64",1951-03-05,NA,NA,NA,NA,NA
"65",1951-03-06,NA,NA,NA,NA,NA
"66",1951-03-07,NA,NA,NA,NA,NA
"67",1951-03-08,NA,NA,NA,NA,NA
"68",1951-03-09,NA,NA,NA,NA,NA
"69",1951-03-10,NA,NA,NA,NA,NA
"70",1951-03-11,NA,NA,NA,NA,NA
"71",1951-03-12,NA,NA,NA,NA,NA
"72",1951-03-13,NA,NA,NA,NA,NA
"73",1951-03-14,NA,NA,NA,NA,NA
"74",1951-03-15,NA,NA,NA,NA,NA
"75",1951-03-16,NA,NA,NA,NA,NA
"76",1951-03-17,NA,NA,NA,NA,NA
"77",1951-03-18,NA,NA,NA,NA,NA
"78",1951-03-19,NA,NA,NA,NA,NA
"79",1951-03-20,NA,NA,NA,NA,NA
"80",1951-03-21,NA,NA,NA,NA,NA
"81",1951-03-22,NA,NA,NA,NA,NA
"82",1951-03-23,NA,NA,NA,NA,NA
"83",1951-03-24,NA,NA,NA,NA,NA
"84",1951-03-25,NA,NA,NA,NA,NA
"85",1951-03-26,NA,NA,NA,NA,NA
"86",1951-03-27,NA,NA,NA,NA,NA
"87",1951-03-28,NA,NA,NA,NA,NA
"88",1951-03-29,NA,NA,NA,NA,NA
"89",1951-03-30,NA,NA,NA,NA,NA
"90",1951-03-31,NA,NA,NA,NA,NA
"91",1951-04-01,NA,NA,NA,NA,NA
"92",1951-04-02,NA,NA,NA,NA,NA
"93",1951-04-03,NA,NA,NA,NA,NA
"94",1951-04-04,NA,NA,NA,NA,NA
"95",1951-04-05,NA,NA,NA,NA,NA
"96",1951-04-06,NA,NA,NA,NA,NA
"97",1951-04-07,NA,NA,NA,NA,NA
"98",1951-04-08,NA,NA,NA,NA,NA
"99",1951-04-09,NA,NA,NA,NA,NA
"100",1951-04-10,NA,NA,NA,NA,NA
"101",1951-04-11,NA,NA,NA,NA,NA
"102",1951-04-12,NA,NA,NA,NA,NA
"103",1951-04-13,NA,NA,NA,NA,NA
"104",1951-04-14,NA,NA,NA,NA,NA
"105",1951-04-15,NA,NA,NA,NA,NA
"106",1951-04-16,NA,NA,NA,NA,NA
"107",1951-04-17,NA,NA,NA,NA,NA
"108",1951-04-18,NA,NA,NA,NA,NA
"109",1951-04-19,NA,NA,NA,NA,NA
"110",1951-04-20,NA,NA,NA,NA,NA
"111",1951-04-21,NA,NA,NA,NA,NA
"112",1951-04-22,NA,NA,NA,NA,NA
"113",1951-04-23,NA,NA,NA,NA,NA
"114",1951-04-24,NA,NA,NA,NA,NA
"115",1951-04-25,NA,NA,NA,NA,NA
"116",1951-04-26,NA,NA,NA,NA,NA
"117",1951-04-27,NA,NA,NA,NA,NA
"118",1951-04-28,NA,NA,NA,NA,NA
"119",1951-04-29,NA,NA,NA,NA,NA
"120",1951-04-30,NA,NA,NA,NA,NA
"121",1951-05-01,NA,NA,NA,NA,NA
"122",1951-05-02,NA,NA,NA,NA,NA
"123",1951-05-03,NA,NA,NA,NA,NA
"124",1951-05-04,NA,NA,NA,NA,NA
"125",1951-05-05,NA,NA,NA,NA,NA
"126",1951-05-06,NA,NA,NA,NA,NA
"127",1951-05-07,NA,NA,NA,NA,NA
"128",1951-05-08,NA,NA,NA,NA,NA
"129",1951-05-09,NA,NA,NA,NA,NA
"130",1951-05-10,NA,NA,NA,NA,NA
"131",1951-05-11,NA,NA,NA,NA,NA
"132",1951-05-12,NA,NA,NA,NA,NA
"133",1951-05-13,NA,NA,NA,NA,NA
"134",1951-05-14,NA,NA,NA,NA,NA
"135",1951-05-15,NA,NA,NA,NA,NA
"136",1951-05-16,NA,NA,NA,NA,NA
"137",1951-05-17,NA,NA,NA,NA,NA
"138",1951-05-18,NA,NA,NA,NA,NA
"139",1951-05-19,NA,NA,NA,NA,NA
"140",1951-05-20,NA,NA,NA,NA,NA
"141",1951-05-21,NA,NA,NA,NA,NA
"142",1951-05-22,NA,NA,NA,NA,NA
"143",1951-05-23,NA,NA,NA,NA,NA
"144",1951-05-24,NA,NA,NA,NA,NA
"145",1951-05-25,NA,NA,NA,NA,NA
"146",1951-05-26,NA,NA,NA,NA,NA
"147",1951-05-27,NA,NA,NA,NA,NA
"148",1951-05-28,NA,NA,NA,NA,NA
"149",1951-05-29,NA,NA,NA,NA,NA
"150",1951-05-30,NA,NA,NA,NA,NA
"151",1951-05-31,NA,NA,NA,NA,NA
"152",1951-06-01,NA,NA,NA,NA,NA
"153",1951-06-02,NA,NA,NA,NA,NA
"154",1951-06-03,NA,NA,NA,NA,NA
"155",1951-06-04,NA,NA,NA,NA,NA
"156",1951-06-05,NA,NA,NA,NA,NA
"157",1951-06-06,NA,NA,NA,NA,NA
"158",1951-06-07,NA,NA,NA,NA,NA
"159",1951-06-08,NA,NA,NA,NA,NA
"160",1951-06-09,NA,NA,NA,NA,NA
"161",1951-06-10,NA,NA,NA,NA,NA
"162",1951-06-11,NA,NA,NA,NA,NA
"163",1951-06-12,NA,NA,NA,NA,NA
"164",1951-06-13,NA,NA,NA,NA,NA
"165",1951-06-14,NA,NA,NA,NA,NA
"166",1951-06-15,NA,NA,NA,NA,NA
"167",1951-06-16,NA,NA,NA,NA,NA
"168",1951-06-17,NA,NA,NA,NA,NA
"169",1951-06-18,NA,NA,NA,NA,NA
"170",1951-06-19,NA,NA,NA,NA,NA
"171",1951-06-20,NA,NA,NA,NA,NA
"172",1951-06-21,NA,NA,NA,NA,NA
"173",1951-06-22,NA,NA,NA,NA,NA
"174",1951-06-23,NA,NA,NA,NA,NA
"175",1951-06-24,NA,NA,NA,NA,NA
"176",1951-06-25,NA,NA,NA,NA,NA
"177",1951-06-26,NA,NA,NA,NA,NA
"178",1951-06-27,NA,NA,NA,NA,NA
"179",1951-06-28,NA,NA,NA,NA,NA
"180",1951-06-29,NA,NA,NA,NA,NA
"181",1951-06-30,NA,NA,NA,NA,NA
"182",1951-07-01,NA,NA,NA,NA,NA
"183",1951-07-02,NA,NA,NA,NA,NA
"184",1951-07-03,NA,NA,NA,NA,NA
"185",1951-07-04,NA,NA,NA,NA,NA
"186",1951-07-05,NA,NA,NA,NA,NA
"187",1951-07-06,NA,NA,NA,NA,NA
"188",1951-07-07,NA,NA,NA,NA,NA
"189",1951-07-08,NA,NA,NA,NA,NA
"190",1951-07-09,NA,NA,NA,NA,NA
"191",1951-07-10,NA,NA,NA,NA,NA
"192",1951-07-11,NA,NA,NA,NA,NA
"193",1951-07-12,NA,NA,NA,NA,NA
"194",1951-07-13,NA,NA,NA,NA,NA
"195",1951-07-14,NA,NA,NA,NA,NA
"196",1951-07-15,NA,NA,NA,NA,NA
"197",1951-07-16,NA,NA,NA,NA,NA
"198",1951-07-17,NA,NA,NA,NA,NA
"199",1951-07-18,NA,NA,NA,NA,NA
"200",1951-07-19,NA,NA,NA,NA,NA
"201",1951-07-20,NA,NA,NA,NA,NA
"202",1951-07-21,NA,NA,NA,NA,NA
"203",1951-07-22,NA,NA,NA,NA,NA
"204",1951-07-23,NA,NA,NA,NA,NA
"205",1951-07-24,NA,NA,NA,NA,NA
"206",1951-07-25,NA,NA,NA,NA,NA
"207",1951-07-26,NA,NA,NA,NA,NA
"208",1951-07-27,NA,NA,NA,NA,NA
"209",1951-07-28,NA,NA,NA,NA,NA
"210",1951-07-29,NA,NA,NA,NA,NA
"211",1951-07-30,NA,NA,NA,NA,NA
"212",1951-07-31,NA,NA,NA,NA,NA
"213",1951-08-01,NA,NA,NA,NA,NA
"214",1951-08-02,NA,NA,NA,NA,NA
"215",1951-08-03,NA,NA,NA,NA,NA
"216",1951-08-04,NA,NA,NA,NA,NA
"217",1951-08-05,NA,NA,NA,NA,NA
"218",1951-08-06,NA,NA,NA,NA,NA
"219",1951-08-07,NA,NA,NA,NA,NA
"220",1951-08-08,NA,NA,NA,NA,NA
"221",1951-08-09,NA,NA,NA,NA,NA
"222",1951-08-10,NA,NA,NA,NA,NA
"223",1951-08-11,NA,NA,NA,NA,NA
"224",1951-08-12,NA,NA,NA,NA,NA
"225",1951-08-13,NA,NA,NA,NA,NA
"226",1951-08-14,NA,NA,NA,NA,NA
"227",1951-08-15,NA,NA,NA,NA,NA
"228",1951-08-16,NA,NA,NA,NA,NA
"229",1951-08-17,NA,NA,NA,NA,NA
"230",1951-08-18,NA,NA,NA,NA,NA
"231",1951-08-19,NA,NA,NA,NA,NA
"232",1951-08-20,NA,NA,NA,NA,NA
"233",1951-08-21,NA,NA,NA,NA,NA
"234",1951-08-22,NA,NA,NA,NA,NA
"235",1951-08-23,NA,NA,NA,NA,NA
"236",1951-08-24,NA,NA,NA,NA,NA
"237",1951-08-25,NA,NA,NA,NA,NA
"238",1951-08-26,NA,NA,NA,NA,NA
"239",1951-08-27,NA,NA,NA,NA,NA
"240",1951-08-28,NA,NA,NA,NA,NA
"241",1951-08-29,NA,NA,NA,NA,NA
"242",1951-08-30,NA,NA,NA,NA,NA
"243",1951-08-31,NA,NA,NA,NA,NA
"244",1951-09-01,NA,NA,NA,NA,23.9
"245",1951-09-02,NA,NA,NA,NA,23.5
"246",1951-09-03,NA,NA,NA,NA,23.5
"247",1951-09-04,NA,NA,NA,NA,23
"248",1951-09-05,NA,NA,NA,NA,22
"249",1951-09-06,NA,NA,NA,NA,22.8
"250",1951-09-07,NA,NA,NA,NA,20
"251",1951-09-08,NA,NA,NA,NA,19.9
"252",1951-09-09,NA,NA,NA,NA,14.8
"253",1951-09-10,NA,NA,NA,NA,12
"254",1951-09-11,NA,NA,NA,NA,11.8
"255",1951-09-12,NA,NA,NA,NA,19.28
"256",1951-09-13,NA,NA,NA,NA,15
"257",1951-09-14,NA,NA,NA,NA,15
"258",1951-09-15,NA,NA,NA,NA,15
"259",1951-09-16,NA,NA,NA,NA,21.2
"260",1951-09-17,NA,NA,NA,NA,21.05
"261",1951-09-18,NA,NA,NA,NA,20
"262",1951-09-19,NA,NA,NA,NA,20.9
