"","Fecha","Tmax (C)","Tmin (C)","TBS07 (C)","TBS13 (C)","TBS19 (C)","TBH07 (C)","TBH13 (C)","TBH19 (C)","Prec07 (mm)","Prec19 (mm)","Direccion del Viento","Velocidad del Viento (m/s)"
"1",1981-01-01,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"2",1981-01-02,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"3",1981-01-03,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"4",1981-01-04,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"5",1981-01-05,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"6",1981-01-06,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"7",1981-01-07,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"8",1981-01-08,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"9",1981-01-09,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"10",1981-01-10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"11",1981-01-11,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0,NA,NA
"12",1981-01-12,NA,NA,NA,NA,NA,NA,NA,NA,0,4.4,NA,NA
"13",1981-01-13,NA,NA,NA,NA,NA,NA,NA,NA,6.7,0,NA,NA
"14",1981-01-14,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"15",1981-01-15,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"16",1981-01-16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"17",1981-01-17,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"18",1981-01-18,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"19",1981-01-19,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"20",1981-01-20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"21",1981-01-21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"22",1981-01-22,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"23",1981-01-23,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"24",1981-01-24,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"25",1981-01-25,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"26",1981-01-26,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"27",1981-01-27,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,NA,NA
"28",1981-01-28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"29",1981-01-29,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"30",1981-01-30,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA
"31",1981-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1981-02-01,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"33",1981-02-02,NA,NA,NA,NA,NA,NA,NA,NA,8.7,0.3,NA,NA
"34",1981-02-03,NA,NA,NA,NA,NA,NA,NA,NA,4.1,6.9,NA,NA
"35",1981-02-04,NA,NA,NA,NA,NA,NA,NA,NA,2.6,0,NA,NA
"36",1981-02-05,NA,NA,NA,NA,NA,NA,NA,NA,11.7,1.6,NA,NA
"37",1981-02-06,NA,NA,NA,NA,NA,NA,NA,NA,7.2,0,NA,NA
"38",1981-02-07,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,NA,NA
"39",1981-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"40",1981-02-09,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"41",1981-02-10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"42",1981-02-11,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,NA,NA
"43",1981-02-12,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,NA,NA
"44",1981-02-13,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"45",1981-02-14,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"46",1981-02-15,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"47",1981-02-16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"48",1981-02-17,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,NA,NA
"49",1981-02-18,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"50",1981-02-19,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,NA,NA
"51",1981-02-20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"52",1981-02-21,NA,NA,NA,NA,NA,NA,NA,NA,20.1,0.1,NA,NA
"53",1981-02-22,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.6,NA,NA
"54",1981-02-23,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0,NA,NA
"55",1981-02-24,NA,NA,NA,NA,NA,NA,NA,NA,0.2,9.3,NA,NA
"56",1981-02-25,NA,NA,NA,NA,NA,NA,NA,NA,3.4,0.5,NA,NA
"57",1981-02-26,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"58",1981-02-27,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"59",1981-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1981-03-01,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"61",1981-03-02,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"62",1981-03-03,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,NA,NA
"63",1981-03-04,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0,NA,NA
"64",1981-03-05,NA,NA,NA,NA,NA,NA,NA,NA,24.8,0,NA,NA
"65",1981-03-06,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,NA,NA
"66",1981-03-07,NA,NA,NA,NA,NA,NA,NA,NA,28.5,0,NA,NA
"67",1981-03-08,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"68",1981-03-09,NA,NA,NA,NA,NA,NA,NA,NA,5.2,1.3,NA,NA
"69",1981-03-10,NA,NA,NA,NA,NA,NA,NA,NA,4.1,0.4,NA,NA
"70",1981-03-11,NA,NA,NA,NA,NA,NA,NA,NA,3,8.6,NA,NA
"71",1981-03-12,NA,NA,NA,NA,NA,NA,NA,NA,85.4,0,NA,NA
"72",1981-03-13,NA,NA,NA,NA,NA,NA,NA,NA,23.1,0,NA,NA
"73",1981-03-14,NA,NA,NA,NA,NA,NA,NA,NA,4.1,0,NA,NA
"74",1981-03-15,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"75",1981-03-16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"76",1981-03-17,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"77",1981-03-18,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"78",1981-03-19,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"79",1981-03-20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"80",1981-03-21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"81",1981-03-22,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"82",1981-03-23,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"83",1981-03-24,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"84",1981-03-25,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"85",1981-03-26,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"86",1981-03-27,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"87",1981-03-28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"88",1981-03-29,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"89",1981-03-30,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"90",1981-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1981-04-01,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"92",1981-04-02,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"93",1981-04-03,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,NA,NA
"94",1981-04-04,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"95",1981-04-05,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"96",1981-04-06,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"97",1981-04-07,NA,NA,NA,NA,NA,NA,NA,NA,56.5,0,NA,NA
"98",1981-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7,NA,NA
"99",1981-04-09,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0,NA,NA
"100",1981-04-10,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0,NA,NA
"101",1981-04-11,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"102",1981-04-12,NA,NA,NA,NA,NA,NA,NA,NA,11.1,0,NA,NA
"103",1981-04-13,NA,NA,NA,NA,NA,NA,NA,NA,2.4,0,NA,NA
"104",1981-04-14,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,NA,NA
"105",1981-04-15,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,NA,NA
"106",1981-04-16,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
"107",1981-04-17,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"108",1981-04-18,NA,NA,NA,NA,NA,NA,NA,NA,15.8,0,NA,NA
"109",1981-04-19,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"110",1981-04-20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"111",1981-04-21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"112",1981-04-22,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"113",1981-04-23,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"114",1981-04-24,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"115",1981-04-25,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0,NA,NA
"116",1981-04-26,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"117",1981-04-27,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"118",1981-04-28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"119",1981-04-29,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"120",1981-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",1981-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",1981-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",1981-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",1981-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",1981-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",1981-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
