"","Fecha","Tmax (C)","Tmin (C)","TBS07 (C)","TBS13 (C)","TBS19 (C)","TBH07 (C)","TBH13 (C)","TBH19 (C)","Prec07 (mm)","Prec19 (mm)","Direccion del Viento","Velocidad del Viento (m/s)"
"1",1944-01-01,29.8,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1944-01-02,28.5,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1944-01-03,28.5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1944-01-04,29,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1944-01-05,30,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1944-01-06,29.1,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1944-01-07,28.8,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1944-01-08,31,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1944-01-09,29.5,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1944-01-10,29.7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1944-01-11,29.5,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1944-01-12,29.3,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1944-01-13,29,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1944-01-14,29.5,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1944-01-15,29.5,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1944-01-16,29.5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1944-01-17,30.2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1944-01-18,30.1,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1944-01-19,31.1,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1944-01-20,31.5,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1944-01-21,31,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1944-01-22,31,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1944-01-23,30,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1944-01-24,29.5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1944-01-25,29.5,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1944-01-26,30.5,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1944-01-27,30,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1944-01-28,29,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1944-01-29,30,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1944-01-30,28.8,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1944-01-31,29.7,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1944-02-01,29,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1944-02-02,29.3,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1944-02-03,29.1,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1944-02-04,30.5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1944-02-05,30.3,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1944-02-06,28.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1944-02-07,29.6,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1944-02-08,30.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1944-02-09,30.8,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1944-02-10,28.7,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1944-02-11,29.8,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1944-02-12,28.5,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1944-02-13,29.9,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1944-02-14,30.5,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1944-02-15,28.7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1944-02-16,30,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1944-02-17,29.5,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1944-02-18,31,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1944-02-19,29.5,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1944-02-20,30,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1944-02-21,28.8,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1944-02-22,32.5,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1944-02-23,30.3,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1944-02-24,30,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1944-02-25,30,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1944-02-26,31,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1944-02-27,31,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1944-02-28,31.1,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1944-02-29,30.1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1944-03-01,30.5,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1944-03-02,31.3,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1944-03-03,31.4,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1944-03-04,31.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1944-03-05,33.2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",1944-03-06,31.2,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1944-03-07,32,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1944-03-08,31,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1944-03-09,31.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",1944-03-10,31.7,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1944-03-11,31.8,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1944-03-12,31.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1944-03-13,32.5,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1944-03-14,32,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1944-03-15,31.8,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1944-03-16,31.2,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1944-03-17,31,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",1944-03-18,31,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1944-03-19,29.3,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1944-03-20,31.6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1944-03-21,31.3,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1944-03-22,30.5,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1944-03-23,30.6,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1944-03-24,31,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1944-03-25,30.5,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1944-03-26,29.5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1944-03-27,30.3,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1944-03-28,31,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1944-03-29,31.6,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1944-03-30,30.5,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1944-03-31,31,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1944-04-01,31.4,21.3,25.5,29.8,28,NA,NA,NA,NA,NA,NA,NA
"93",1944-04-02,31.5,22,26,31,27,NA,NA,NA,NA,NA,NA,NA
"94",1944-04-03,29.5,20.8,24.5,28.5,23.8,NA,NA,NA,NA,NA,NA,NA
"95",1944-04-04,29,19.5,23.1,26.5,25.4,NA,NA,NA,NA,NA,NA,NA
"96",1944-04-05,30.3,20.8,25,28.6,25.8,NA,NA,NA,NA,NA,NA,NA
"97",1944-04-06,30.5,21,26.3,29.2,27,NA,NA,NA,NA,NA,NA,NA
"98",1944-04-07,31.3,21.5,26.6,29.3,27.3,NA,NA,NA,NA,NA,NA,NA
"99",1944-04-08,31.5,21.6,25.4,28.8,27,NA,NA,NA,NA,NA,NA,NA
"100",1944-04-09,29.7,21.7,26.4,27.6,27.9,NA,NA,NA,NA,NA,NA,NA
"101",1944-04-10,31.5,21.8,27.5,30.8,26.5,NA,NA,NA,NA,NA,NA,NA
"102",1944-04-11,30.4,21.2,25.8,28,27.3,NA,NA,NA,NA,NA,NA,NA
"103",1944-04-12,30.3,22.3,25.5,28.8,27,NA,NA,NA,NA,NA,NA,NA
"104",1944-04-13,30.5,21.3,25.4,29.4,27.1,NA,NA,NA,NA,NA,NA,NA
"105",1944-04-14,31.5,21.3,25.8,30.4,26,NA,NA,NA,NA,NA,NA,NA
"106",1944-04-15,31.3,20.4,25.5,29,26.5,NA,NA,NA,NA,NA,NA,NA
"107",1944-04-16,30.3,21,26.4,28,26.6,NA,NA,NA,NA,NA,NA,NA
"108",1944-04-17,30,19.5,25.2,28,24.8,NA,NA,NA,NA,NA,NA,NA
"109",1944-04-18,30.3,19,24,27,24.5,NA,NA,NA,NA,NA,NA,NA
"110",1944-04-19,30,19.4,24.6,29.2,26.3,NA,NA,NA,NA,NA,NA,NA
"111",1944-04-20,29,20.6,24.7,27.6,24.5,NA,NA,NA,NA,NA,NA,NA
"112",1944-04-21,29.4,19.7,25.3,27.7,26,NA,NA,NA,NA,NA,NA,NA
"113",1944-04-22,30.3,20.2,25,29,24.8,NA,NA,NA,NA,NA,NA,NA
"114",1944-04-23,30.3,20,25.5,27.8,26,NA,NA,NA,NA,NA,NA,NA
"115",1944-04-24,28.8,20.6,24.3,26,24.8,NA,NA,NA,NA,NA,NA,NA
